check	observed	expected	status	evidence
input_manifest_roles	"[""go_basic"",""hgnc"",""hgnc_withdrawn"",""ncbi_gene2go"",""ncbi_gene_group"",""ncbi_gene_info"",""phr_bed"",""raw_chm13_gff"",""reactome_ncbi"",""reactome_pathways"",""reactome_relations"",""remediated_pilot_evidence"",""remediated_pilot_manifest"",""source_manifest""]"	"[""go_basic"",""hgnc"",""hgnc_withdrawn"",""ncbi_gene2go"",""ncbi_gene_group"",""ncbi_gene_info"",""phr_bed"",""raw_chm13_gff"",""reactome_ncbi"",""reactome_pathways"",""reactome_relations"",""remediated_pilot_evidence"",""remediated_pilot_manifest"",""source_manifest""]"	PASS	ontology_v6/INPUT_MANIFEST.tsv
phr_declared_post_source_freeze	after_source_freeze_target_join	after_source_freeze_target_join	PASS	INPUT_MANIFEST.tsv: phr_bed
input_sha256_go_basic	3cf228f87644713c651c567d7377dda217219eaa0a17b1f4a47cb9df5d892613	3cf228f87644713c651c567d7377dda217219eaa0a17b1f4a47cb9df5d892613	PASS	paper_prep/_brainstorming/chm13_copy_enrichment/sources/go-basic_2026-06-15.obo.gz
input_bytes_go_basic	4471158	4471158	PASS	paper_prep/_brainstorming/chm13_copy_enrichment/sources/go-basic_2026-06-15.obo.gz
input_sha256_hgnc	ab7513f056606920e096be5fca5f0894178c696bd99742a61726a24cb8fd075b	ab7513f056606920e096be5fca5f0894178c696bd99742a61726a24cb8fd075b	PASS	paper_prep/_brainstorming/chm13_copy_enrichment/sources/hgnc_complete_set_2026-07-10.tsv.gz
input_bytes_hgnc	4042131	4042131	PASS	paper_prep/_brainstorming/chm13_copy_enrichment/sources/hgnc_complete_set_2026-07-10.tsv.gz
input_sha256_hgnc_withdrawn	efeb938b55197fd75bc68429ed85698d08bce8be076047f1cc7eccfd850b6c18	efeb938b55197fd75bc68429ed85698d08bce8be076047f1cc7eccfd850b6c18	PASS	paper_prep/_brainstorming/chm13_copy_enrichment/sources/hgnc_withdrawn_2026-07-10.tsv.gz
input_bytes_hgnc_withdrawn	58683	58683	PASS	paper_prep/_brainstorming/chm13_copy_enrichment/sources/hgnc_withdrawn_2026-07-10.tsv.gz
input_sha256_ncbi_gene2go	0ee1f6a9ea42d983c744929acfbe994106036b13724feccae57fdec0ffa9368f	0ee1f6a9ea42d983c744929acfbe994106036b13724feccae57fdec0ffa9368f	PASS	paper_prep/_brainstorming/chm13_copy_enrichment/sources/ncbi_gene2go_human_2026-07-13.tsv.gz
input_bytes_ncbi_gene2go	5145709	5145709	PASS	paper_prep/_brainstorming/chm13_copy_enrichment/sources/ncbi_gene2go_human_2026-07-13.tsv.gz
input_sha256_ncbi_gene_group	bccef72f2cbf5df532ce73e335f2bd7ade3c3b3f38724516407adbb714d08811	bccef72f2cbf5df532ce73e335f2bd7ade3c3b3f38724516407adbb714d08811	PASS	paper_prep/_brainstorming/chm13_copy_enrichment/sources/ncbi_gene_group_2026-07-16.tsv.gz
input_bytes_ncbi_gene_group	296789	296789	PASS	paper_prep/_brainstorming/chm13_copy_enrichment/sources/ncbi_gene_group_2026-07-16.tsv.gz
input_sha256_ncbi_gene_info	1c0a432dc99ad051e67938774d276d525aae0a9426d70f384d54c9ecee6a7ba2	1c0a432dc99ad051e67938774d276d525aae0a9426d70f384d54c9ecee6a7ba2	PASS	paper_prep/_brainstorming/chm13_copy_enrichment/sources/ncbi_homo_sapiens_gene_info_2026-07-16.tsv.gz
input_bytes_ncbi_gene_info	5169906	5169906	PASS	paper_prep/_brainstorming/chm13_copy_enrichment/sources/ncbi_homo_sapiens_gene_info_2026-07-16.tsv.gz
input_sha256_raw_chm13_gff	a1c8e61cb4e60a3af3a18599b7d5551a72a1b0317bdffad42ae7fa36e73da968	a1c8e61cb4e60a3af3a18599b7d5551a72a1b0317bdffad42ae7fa36e73da968	PASS	data/chm13v2.0_RefSeq_Liftoff_v5.2.gff3.gz
input_bytes_raw_chm13_gff	56368414	56368414	PASS	data/chm13v2.0_RefSeq_Liftoff_v5.2.gff3.gz
input_sha256_reactome_ncbi	bf83cc620df5ab6e1d23507f352dc9266afdd8523981779d7f836ffeb8058e81	bf83cc620df5ab6e1d23507f352dc9266afdd8523981779d7f836ffeb8058e81	PASS	paper_prep/_brainstorming/chm13_copy_enrichment/sources/reactome_v96_ncbi_human_all_levels.tsv.gz
input_bytes_reactome_ncbi	1831028	1831028	PASS	paper_prep/_brainstorming/chm13_copy_enrichment/sources/reactome_v96_ncbi_human_all_levels.tsv.gz
input_sha256_reactome_pathways	ca4cb536a92c64523f91c84a34759af839adba02908f2598ddbe2303d4337810	ca4cb536a92c64523f91c84a34759af839adba02908f2598ddbe2303d4337810	PASS	paper_prep/_brainstorming/chm13_copy_enrichment/sources/reactome_v96_human_pathways.tsv.gz
input_bytes_reactome_pathways	49301	49301	PASS	paper_prep/_brainstorming/chm13_copy_enrichment/sources/reactome_v96_human_pathways.tsv.gz
input_sha256_reactome_relations	134c0f79d2c3ee5ab3a0ebaf34f267112da24af741f10927ca14b5dd16908af9	134c0f79d2c3ee5ab3a0ebaf34f267112da24af741f10927ca14b5dd16908af9	PASS	paper_prep/_brainstorming/chm13_copy_enrichment/sources/reactome_v96_human_pathway_relations.tsv.gz
input_bytes_reactome_relations	14237	14237	PASS	paper_prep/_brainstorming/chm13_copy_enrichment/sources/reactome_v96_human_pathway_relations.tsv.gz
input_sha256_remediated_pilot_evidence	1e73435aa82d852e315b09f782502245fef7a3a9f51fc1ce100ac30ec20980a0	1e73435aa82d852e315b09f782502245fef7a3a9f51fc1ce100ac30ec20980a0	PASS	paper_prep/_brainstorming/chm13_copy_enrichment/ontology_v5/real_source_pilot/REAL_SOURCE_COPY_SOURCE_EVIDENCE.tsv.gz
input_bytes_remediated_pilot_evidence	11364	11364	PASS	paper_prep/_brainstorming/chm13_copy_enrichment/ontology_v5/real_source_pilot/REAL_SOURCE_COPY_SOURCE_EVIDENCE.tsv.gz
input_sha256_remediated_pilot_manifest	8e96d87a57877e554a09563406f00f45afcf799bf7be6229caaaaa1f6105cdf4	8e96d87a57877e554a09563406f00f45afcf799bf7be6229caaaaa1f6105cdf4	PASS	paper_prep/_brainstorming/chm13_copy_enrichment/ontology_v5/real_source_pilot/REAL_SOURCE_PILOT_OUTPUTS.sha256.tsv
input_bytes_remediated_pilot_manifest	1241	1241	PASS	paper_prep/_brainstorming/chm13_copy_enrichment/ontology_v5/real_source_pilot/REAL_SOURCE_PILOT_OUTPUTS.sha256.tsv
input_sha256_source_manifest	11e430822b03b049e4bd31f52993290e39447ecc188d4ea6882a4ccbe08cd869	11e430822b03b049e4bd31f52993290e39447ecc188d4ea6882a4ccbe08cd869	PASS	paper_prep/_brainstorming/chm13_copy_enrichment/sources/SOURCE_MANIFEST.tsv
input_bytes_source_manifest	5748	5748	PASS	paper_prep/_brainstorming/chm13_copy_enrichment/sources/SOURCE_MANIFEST.tsv
raw_physical_loci	61312	61312	PASS	raw CHM13v2.0 GFF3 gene features
raw_unique_copy_ids	61312	61312	PASS	coordinate+strand+GFF feature identity
coordinate_coincident_extra_rows_retained	12	12	PASS	gff_id keeps coordinate-coincident gene records distinct
independent_own_annotation_identity_count	60430	60430	PASS	raw stable identifiers plus frozen exact registry bridges
assignment_rows	61312	61312	PASS	GENOMEWIDE_SOURCE_ASSIGNMENTS.tsv.gz
assignment_unique_copy_ids	61312	61312	PASS	GENOMEWIDE_SOURCE_ASSIGNMENTS.tsv.gz
evidence_rows	61312	61312	PASS	COPY_SOURCE_EVIDENCE.tsv.gz
evidence_unique_copy_ids	61312	61312	PASS	COPY_SOURCE_EVIDENCE.tsv.gz
assignment_raw_copy_bijection	true	true	PASS	raw GFF3 versus source assignments; 61,312 exact copy IDs
evidence_raw_copy_bijection	true	true	PASS	raw GFF3 versus copy-source evidence; 61,312 exact copy IDs
all_assignment_hashes_reconstructed	true	true	PASS	61,312 assignment_record_sha256 values
all_copy_evidence_hashes_reconstructed	true	true	PASS	61,312 evidence_record_sha256 values
summed_physical_copy_cn	61312	61312	PASS	GENOMEWIDE_SOURCE_ASSIGNMENTS.tsv.gz
remediated_pilot_rows_reconciled	true	true	PASS	REAL_SOURCE_COPY_SOURCE_EVIDENCE.tsv.gz; 168 exact copy IDs
remediated_pilot_row_count	168	168	PASS	REAL_SOURCE_COPY_SOURCE_EVIDENCE.tsv.gz
all_nonself_sources_have_exact_directed_evidence	11561	11561	PASS	raw human-human Related functional gene pairs
ambiguous_rows_emit_no_source	45	45	PASS	independent source adjudication
termless_or_unsupported_rows_emit_no_source	28407	28407	PASS	term-bearing source set reconstructed from raw ontology assertions
name_family_alias_sequence_routes_admitted	0	0	PASS	only exact self or exact directed relation is admissible
source_freeze_file_count	3	3	PASS	SOURCE_ASSIGNMENT_FREEZE.sha256.tsv
source_freeze_stage_GENOMEWIDE_SOURCE_ASSIGNMENTS.tsv.gz	source_assignment_before_target	source_assignment_before_target	PASS	no PHR-derived field is permitted
source_freeze_sha256_GENOMEWIDE_SOURCE_ASSIGNMENTS.tsv.gz	1c026142fdc608399486e476c9218644bccde96e5bc830133d117cc53127e943	1c026142fdc608399486e476c9218644bccde96e5bc830133d117cc53127e943	PASS	SOURCE_ASSIGNMENT_FREEZE.sha256.tsv
source_freeze_bytes_GENOMEWIDE_SOURCE_ASSIGNMENTS.tsv.gz	9355912	9355912	PASS	SOURCE_ASSIGNMENT_FREEZE.sha256.tsv
source_freeze_stage_COPY_SOURCE_EVIDENCE.tsv.gz	source_assignment_before_target	source_assignment_before_target	PASS	no PHR-derived field is permitted
source_freeze_sha256_COPY_SOURCE_EVIDENCE.tsv.gz	36c82dd9f73f50b01113db2da691f6f3ccab4927952d3688d1c31b28150d319f	36c82dd9f73f50b01113db2da691f6f3ccab4927952d3688d1c31b28150d319f	PASS	SOURCE_ASSIGNMENT_FREEZE.sha256.tsv
source_freeze_bytes_COPY_SOURCE_EVIDENCE.tsv.gz	4339464	4339464	PASS	SOURCE_ASSIGNMENT_FREEZE.sha256.tsv
source_freeze_stage_SOURCE_TERMS.tsv.gz	source_assignment_before_target	source_assignment_before_target	PASS	no PHR-derived field is permitted
source_freeze_sha256_SOURCE_TERMS.tsv.gz	5f980e84e867114d20e27d4aa298ea623b555de25be7a839c3ace7cba630d4b9	5f980e84e867114d20e27d4aa298ea623b555de25be7a839c3ace7cba630d4b9	PASS	SOURCE_ASSIGNMENT_FREEZE.sha256.tsv
source_freeze_bytes_SOURCE_TERMS.tsv.gz	27990797	27990797	PASS	SOURCE_ASSIGNMENT_FREEZE.sha256.tsv
source_freeze_composite_sha256	fd23bc49f02a6e32dfffbbdca53195371283c24b32b8db7c51cdefee9cbd9015	fd23bc49f02a6e32dfffbbdca53195371283c24b32b8db7c51cdefee9cbd9015	PASS	three source-only frozen artifacts
phr_bed_sha256_after_source_validation	03cc73f049e9625d131137d8ab7fbc5f52833c2aade52b9b6635d5a874b55cb9	03cc73f049e9625d131137d8ab7fbc5f52833c2aade52b9b6635d5a874b55cb9	PASS	PHR opened after source adjudication
phr_interval_rows_reconciled	37	37	PASS	all non-comment BED rows
target_map_rows	61312	61312	PASS	GENOMEWIDE_SOURCE_MAP.tsv.gz
all_phr_midpoint_memberships_reconstructed	402	402	PASS	raw GFF3 midpoint versus raw PHR BED
all_phr_overlap_memberships_reconstructed	412	412	PASS	raw GFF3 interval overlap versus raw PHR BED
source_terms_reconstructed	1686727	1686727	PASS	raw GO/gene2go and Reactome snapshots
term_burden_rows_reconstructed	1686727	1686727	PASS	one copy-weighted burden per source term
repeated_source_burdens_use_copy_counts	true	true	PASS	burden equals physical assignment count, never unique source count
physical_ontology_contributors_reconstructed	31966	31966	PASS	EXACT_CONTRIBUTORS.tsv.gz
physical_copy_term_edges_reconstructed	2929709	2929709	PASS	one edge per eligible physical copy/source term
physical_copy_term_edge_cn	2929709	2929709	PASS	no repeated source contributor collapsed
named_cohorts_equal_remediated_pilot_universe	true	true	PASS	five raw-name cohorts and pilot contain the same 168 copy IDs
named_DUX4_DUX4L_reviewed_counts	[107,68,65]	[107,68,65]	PASS	raw GFF/PHR plus remediated copy-source evidence
named_DDX11L_reviewed_counts	[12,10,10]	[12,10,10]	PASS	raw GFF/PHR plus remediated copy-source evidence
named_TUBB8_reviewed_counts	[16,7,2]	[16,7,2]	PASS	raw GFF/PHR plus remediated copy-source evidence
named_OR4F_reviewed_counts	[15,11,4]	[15,11,4]	PASS	raw GFF/PHR plus remediated copy-source evidence
named_WASH_reviewed_counts	[18,9,9]	[18,9,9]	PASS	raw GFF/PHR plus remediated copy-source evidence
named_audit_row_count	5	5	PASS	NAMED_COHORT_AUDIT.tsv
DUX4_each_direct_and_ancestor_term_burden	[65]	[65]	PASS	65 coordinate-distinct reviewed PHR contributors
DDX11_each_direct_and_ancestor_term_burden	[10]	[10]	PASS	10 coordinate-distinct reviewed PHR contributors
WASHC1_each_direct_and_ancestor_term_burden	[9]	[9]	PASS	9 coordinate-distinct reviewed PHR contributors
named_term_burden_rows_reconstructed	1391	1391	PASS	NAMED_COHORT_TERM_BURDENS.tsv.gz
mapping_coverage_row_count	3	3	PASS	genome, PHR midpoint, PHR any-overlap
total_and_phr_route_biotype_coverage_reconstructed	true	true	PASS	PRE_RUN_V6_MAPPING_COVERAGE.tsv
release_sha256_COPY_SOURCE_EVIDENCE.tsv.gz	36c82dd9f73f50b01113db2da691f6f3ccab4927952d3688d1c31b28150d319f	36c82dd9f73f50b01113db2da691f6f3ccab4927952d3688d1c31b28150d319f	PASS	OUTPUT_MANIFEST.sha256.tsv
release_bytes_COPY_SOURCE_EVIDENCE.tsv.gz	4339464	4339464	PASS	OUTPUT_MANIFEST.sha256.tsv
