source_url	article	figure_panel	license	attribution	local_file	notes
https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/667306/fcell-09-667306-HTML/image_m/fcell-09-667306-g001.jpg	Wang X and Pepling ME (2021) Regulation of Meiotic Prophase One in Mammalian Oocytes. Frontiers in Cell and Developmental Biology 9:667306. DOI 10.3389/fcell.2021.667306	Figure 1, prophase I timeline and representative oocyte-stage nuclei	CC BY; PMC mirror states open-access article under Creative Commons Attribution License	Wang and Pepling (2021) Front. Cell Dev. Biol. CC BY	slides/meiosis-prophase-background/assets/sanchez_saez_2021_frontiers_fig1.png	Downloaded from the Frontiers image provider URL identified from the brief's article page. Brief named Sanchez-Saez/Bolcun-Filas, but the supplied URL resolves to Wang and Pepling 2021.
https://journals.plos.org/plosgenetics/article/figure/image?size=large&id=10.1371/journal.pgen.1000661.g001	Cheng EY et al. (2009) Meiotic Recombination in Human Oocytes. PLOS Genetics 5(9):e1000661. DOI 10.1371/journal.pgen.1000661	Figure 1, panels A-C; panel B is zygotene human fetal oocyte and panel C is pachytene human fetal oocyte	CC BY; PLOS article copyright statement permits unrestricted use with attribution	Cheng et al. (2009) PLOS Genet. CC BY	slides/meiosis-prophase-background/assets/cheng_2009_plosgenet_fig1_large.png	Downloaded from direct large PLOS image URL in the brief; shown as full figure so panel B/C context remains visible.
https://journals.plos.org/plosone/article/figure/image?size=large&id=10.1371/journal.pone.0085075.g007	Gruhn JR et al. (2013) Cytological Studies of Human Meiosis: Sex-Specific Differences in Recombination Originate at, or Prior to, Establishment of Double-Strand Breaks. PLOS ONE 8(12):e85075. DOI 10.1371/journal.pone.0085075	Figure 7, panel A zygotene human spermatocyte; panels B-C zygotene oocytes with SYCP1/SYCP3/CREST	CC BY 4.0; PLOS article copyright statement links Creative Commons Attribution License	Gruhn et al. (2013) PLOS ONE. CC BY 4.0	slides/meiosis-prophase-background/assets/gruhn_2013_plosone_fig7_large.png	Downloaded from direct large PLOS image URL in the brief.
https://journals.plos.org/plosone/article/figure/image?size=large&id=10.1371/journal.pone.0085075.g001	Gruhn JR et al. (2013) Cytological Studies of Human Meiosis: Sex-Specific Differences in Recombination Originate at, or Prior to, Establishment of Double-Strand Breaks. PLOS ONE 8(12):e85075. DOI 10.1371/journal.pone.0085075	Figure 1, panel A pachytene human fetal oocyte and panel B pachytene human spermatocyte	CC BY 4.0; PLOS article copyright statement links Creative Commons Attribution License	Gruhn et al. (2013) PLOS ONE. CC BY 4.0	slides/meiosis-prophase-background/assets/gruhn_2013_plosone_fig1_large.png	Downloaded from direct large PLOS image URL in the brief; centerpiece human pachytene image.
https://journals.plos.org/plosgenetics/article/figure/image?size=large&id=10.1371/journal.pgen.1007730.g001	Blokhina YP et al. (2019) The telomere bouquet is a hub where meiotic double-strand breaks, synapsis, and stable homolog juxtaposition are coordinated in the zebrafish, Danio rerio. PLOS Genetics 15(1):e1007730. DOI 10.1371/journal.pgen.1007730	Figure 1, leptotene through pachytene bouquet/telomere/Sycp progression	CC BY 4.0; PLOS article copyright statement links Creative Commons Attribution License	Blokhina et al. (2019) PLOS Genet. CC BY 4.0	slides/meiosis-prophase-background/assets/blokhina_2019_plosgenet_fig1_large.png	Downloaded from direct large PLOS image URL in the brief; used as the clearest CC-BY bouquet/telomere visual.
https://cdn.ncbi.nlm.nih.gov/pmc/blobs/153a/329396/9d9beb230082/zmk0030425210001.jpg	Liebe B et al. (2004) Telomere attachment, meiotic chromosome condensation, pairing, and bouquet stage duration are modified in spermatocytes lacking axial elements. Molecular Biology of the Cell 15(2):827-837. DOI 10.1091/mbc.e03-07-0524	Figure 1, brief flags panel A(iii) zygotene bouquet and A(iv) pachytene comparison	PMC/free-to-read reuse unclear; explicit CC reuse license not located during automated retrieval	Liebe et al. (2004) Mol. Biol. Cell. PMC/free-to-read reuse unclear	slides/meiosis-prophase-background/assets/liebe_2004_mbc_fig1_pmc_review_use.jpg	Downloaded and shown because it is scientifically useful for telomere/FISH/prophase clarity; exact rights status is recorded here and source slide cites the paper normally.
https://journals.plos.org/plosgenetics/article/figure/image?size=large&id=10.1371/journal.pgen.1002701.g001	Bisig CG et al. (2012) Synaptonemal Complex Components Persist at Centromeres and Are Required for Homologous Centromere Pairing in Mouse Spermatocytes. PLOS Genetics 8(6):e1002701. DOI 10.1371/journal.pgen.1002701	Figure 1, pachytene-to-diplotene centromere pairing and SC persistence dynamics	CC BY; PLOS article copyright statement permits unrestricted use with attribution	Bisig et al. (2012) PLOS Genet. CC BY	slides/meiosis-prophase-background/assets/bisig_2012_plosgenet_fig1_large.png	Downloaded from direct large PLOS image URL in the brief; used as open-access diplotene/desynapsis substitute for paywalled human oocyte material.
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1038%2Fs41467-018-07794-7/MediaObjects/41467_2018_7794_Fig1_HTML.png	Dunce JM et al. (2018) Structural basis of meiotic telomere attachment to the nuclear envelope by MAJIN-TERB2-TERB1. Nature Communications 9:5355. DOI 10.1038/s41467-018-07794-7	Figure 1, meiotic telomere attachment complex schematic	CC BY 4.0; Nature article rights statement confirms Creative Commons Attribution 4.0 International License	Dunce et al. (2018) Nat. Commun. CC BY 4.0	slides/meiosis-prophase-background/assets/dunce_2018_natcomm_fig1.png	Downloaded from Springer Nature lw1200 figure asset; full-resolution endpoint did not complete for Fig. 1, lw1200 was the highest practical automated image retrieved.
https://media.springernature.com/full/springer-static/image/art%3A10.1038%2Fs41467-018-07794-7/MediaObjects/41467_2018_7794_Fig8_HTML.png	Dunce JM et al. (2018) Structural basis of meiotic telomere attachment to the nuclear envelope by MAJIN-TERB2-TERB1. Nature Communications 9:5355. DOI 10.1038/s41467-018-07794-7	Figure 8, SIM imaging of mouse pachytene telomere attachment proteins and telomeric DNA	CC BY 4.0; Nature article rights statement confirms Creative Commons Attribution 4.0 International License	Dunce et al. (2018) Nat. Commun. CC BY 4.0	slides/meiosis-prophase-background/assets/dunce_2018_natcomm_fig8.png	Downloaded from Springer Nature full figure asset; used for pachytene telomere-NE attachment plate visual.
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1038%2Fs41467-021-23550-w/MediaObjects/41467_2021_23550_Fig5_HTML.png	Chen Y et al. (2021) The SUN1-SPDYA interaction plays an essential role in meiosis prophase I. Nature Communications 12:3176. DOI 10.1038/s41467-021-23550-w	Figure 5, SUN1-SPDYA ring-shaped telomere supramolecular architecture at nuclear envelope	CC BY 4.0; Nature article rights statement confirms Creative Commons Attribution 4.0 International License	Chen et al. (2021) Nat. Commun. CC BY 4.0	slides/meiosis-prophase-background/assets/mu_2021_natcomm_fig5.png	Downloaded from Springer Nature lw1200 figure asset; brief lists the article as Mu et al., but Nature page citation is Chen et al. 2021.
