method_id	method_family	method_label	comparison_id	comparison_label	fastga_frequency	chop_length_bp	filter_id	chunk_mode	scoring	input_path	input_exists	input_rows	status
untangle_strict	untangle	Untangle strict primary path	all_three_transmissions	strict untangle overview	NA	NA	strict_primary_path_only	terminal-window	strict corrected untangle geometry	/moosefs/erikg/phrs/.wg-worktrees/agent-2733/paper_prep/_brainstorming/fig5_untangle_whole_genome_overview/untangle_whole_genome_segments.tsv	True	1449	OK
sweepga_fastga_f16_l10000_PAN027pat_vs_PAN011_joint	sweepga_fastga_f16	SweepGA/FastGA f16	PAN027pat_vs_PAN011_joint	PAN027pat_vs_PAN011	16	10000	one_to_one_ani_o0	query-grid	ani	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity_query_grid/l10000/PAN027pat_vs_PAN011_joint.one_to_one_ani_o0.chopped_l10000_o0_query_grid.paf.gz	True	301491	OK
sweepga_fastga_f16_l5000_PAN027pat_vs_PAN011_joint	sweepga_fastga_f16	SweepGA/FastGA f16	PAN027pat_vs_PAN011_joint	PAN027pat_vs_PAN011	16	5000	one_to_one_ani_o0	query-grid	ani	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity_query_grid/l5000/PAN027pat_vs_PAN011_joint.one_to_one_ani_o0.chopped_l5000_o0_query_grid.paf.gz	True	602690	OK
sweepga_fastga_f16_l2000_PAN027pat_vs_PAN011_joint	sweepga_fastga_f16	SweepGA/FastGA f16	PAN027pat_vs_PAN011_joint	PAN027pat_vs_PAN011	16	2000	one_to_one_ani_o0	query-grid	ani	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity_query_grid/l2000/PAN027pat_vs_PAN011_joint.one_to_one_ani_o0.chopped_l2000_o0_query_grid.paf.gz	True	1503843	OK
sweepga_fastga_f16_l10000_PAN027mat_vs_PAN010_joint	sweepga_fastga_f16	SweepGA/FastGA f16	PAN027mat_vs_PAN010_joint	PAN027mat_vs_PAN010	16	10000	one_to_one_ani_o0	query-grid	ani	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity_query_grid/l10000/PAN027mat_vs_PAN010_joint.one_to_one_ani_o0.chopped_l10000_o0_query_grid.paf.gz	True	300680	OK
sweepga_fastga_f16_l5000_PAN027mat_vs_PAN010_joint	sweepga_fastga_f16	SweepGA/FastGA f16	PAN027mat_vs_PAN010_joint	PAN027mat_vs_PAN010	16	5000	one_to_one_ani_o0	query-grid	ani	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity_query_grid/l5000/PAN027mat_vs_PAN010_joint.one_to_one_ani_o0.chopped_l5000_o0_query_grid.paf.gz	True	601016	OK
sweepga_fastga_f16_l2000_PAN027mat_vs_PAN010_joint	sweepga_fastga_f16	SweepGA/FastGA f16	PAN027mat_vs_PAN010_joint	PAN027mat_vs_PAN010	16	2000	one_to_one_ani_o0	query-grid	ani	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity_query_grid/l2000/PAN027mat_vs_PAN010_joint.one_to_one_ani_o0.chopped_l2000_o0_query_grid.paf.gz	True	1499420	OK
sweepga_fastga_f16_l10000_PAN028mat_vs_PAN027_joint	sweepga_fastga_f16	SweepGA/FastGA f16	PAN028mat_vs_PAN027_joint	PAN028mat_vs_PAN027	16	10000	one_to_one_ani_o0	query-grid	ani	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity_query_grid/l10000/PAN028mat_vs_PAN027_joint.one_to_one_ani_o0.chopped_l10000_o0_query_grid.paf.gz	True	293799	OK
sweepga_fastga_f16_l5000_PAN028mat_vs_PAN027_joint	sweepga_fastga_f16	SweepGA/FastGA f16	PAN028mat_vs_PAN027_joint	PAN028mat_vs_PAN027	16	5000	one_to_one_ani_o0	query-grid	ani	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity_query_grid/l5000/PAN028mat_vs_PAN027_joint.one_to_one_ani_o0.chopped_l5000_o0_query_grid.paf.gz	True	586527	OK
sweepga_fastga_f16_l2000_PAN028mat_vs_PAN027_joint	sweepga_fastga_f16	SweepGA/FastGA f16	PAN028mat_vs_PAN027_joint	PAN028mat_vs_PAN027	16	2000	one_to_one_ani_o0	query-grid	ani	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity_query_grid/l2000/PAN028mat_vs_PAN027_joint.one_to_one_ani_o0.chopped_l2000_o0_query_grid.paf.gz	True	1463722	OK
sweepga_fastga_f32_l10000_PAN027pat_vs_PAN011_joint	sweepga_fastga_f32	SweepGA/FastGA f32	PAN027pat_vs_PAN011_joint	PAN027pat_vs_PAN011	32	10000	one_to_one_ani_o0	query-grid	ani	/moosefs/erikg/phrs/.wg-worktrees/agent-2727/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency32/filtered_paf_chop_sensitivity_query_grid/l10000/PAN027pat_vs_PAN011_joint.one_to_one_ani_o0.chopped_l10000_o0_query_grid.paf.gz	True	301279	OK
sweepga_fastga_f32_l5000_PAN027pat_vs_PAN011_joint	sweepga_fastga_f32	SweepGA/FastGA f32	PAN027pat_vs_PAN011_joint	PAN027pat_vs_PAN011	32	5000	one_to_one_ani_o0	query-grid	ani	/moosefs/erikg/phrs/.wg-worktrees/agent-2727/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency32/filtered_paf_chop_sensitivity_query_grid/l5000/PAN027pat_vs_PAN011_joint.one_to_one_ani_o0.chopped_l5000_o0_query_grid.paf.gz	True	602416	OK
sweepga_fastga_f32_l2000_PAN027pat_vs_PAN011_joint	sweepga_fastga_f32	SweepGA/FastGA f32	PAN027pat_vs_PAN011_joint	PAN027pat_vs_PAN011	32	2000	one_to_one_ani_o0	query-grid	ani	/moosefs/erikg/phrs/.wg-worktrees/agent-2727/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency32/filtered_paf_chop_sensitivity_query_grid/l2000/PAN027pat_vs_PAN011_joint.one_to_one_ani_o0.chopped_l2000_o0_query_grid.paf.gz	True	1503363	OK
