asset_id	event_id	comparison_id	asset_role	source_type	path	filter_id	decision_use	notes
direct_concordance_all	all	all	segment decision table	direct summary	summaries/direct_vs_graph_concordance.tsv	NA	primary decision input	38 graph-selected rows scored against direct PAFs; contains per-row recommendation.
direct_paf_summary_all	all	all	file-level alignment summary	direct summary	summaries/paf_file_summary.tsv	NA	support/control	Use for raw and filter-level record counts, inter-arm load, and sanity checks.
input_manifest_all	all	all	input FASTA/name manifest	direct summary	summaries/input_manifest.tsv	NA	provenance	Lists source FASTA and extracted query/target FASTAs for all six comparisons.
filter_matrix_all	all	all	filter definitions	direct config	config/filter_matrix.tsv	NA	provenance	Defines many:many raw, 1:1, 1:many, 2:many, 4:many, and simple threshold filters.
comparison_config_all	all	all	comparison definitions	direct config	config/comparisons.tsv	NA	provenance	Maps comparison IDs to transmission, query haplotype, and target parent haplotype.
plot_focused	all	fig5_selected	review plot	direct plot	plots/direct_sweepga_concordance_focused.svg	NA	decision support	Focused SVG used to review selected Fig5 event intervals.
plot_focused_pdf	all	fig5_selected	review plot	direct plot	plots/direct_sweepga_concordance_focused.pdf	NA	decision support	PDF copy of focused review plot.
plot_full	all	all	review plot	direct plot	plots/direct_sweepga_full_genome_overview.svg	NA	decision support	Full-window overview across the direct comparison package.
plot_full_pdf	all	all	review plot	direct plot	plots/direct_sweepga_full_genome_overview.pdf	NA	decision support	PDF copy of full-window overview.
plot_review	all	all	review plot	direct plot	plots/direct_sweepga_concordance_review.svg	NA	decision support	Review-only concordance SVG generated by direct sweepGA package.
graph_event_manifest	all	fig5_selected	event definition	graph/untangle	../fig5_synteny_recombination_schematic/event_manifest.tsv	NA	primary event definition	Defines three selected events, transmission, interpretation boundary, and recommended tracks.
graph_selected_segments	all	fig5_selected	strict selected segment table	graph/untangle	../fig5_synteny_recombination_schematic/selected_segments.tsv	NA	primary event boundaries	Backbone for autosomal event boundaries and fragment labels.
prior_conservative_segments	all	fig5_selected	prior strict sweepGA/untangle table	prior strict sweepGA	../fig5_sweepga_1to1_redraw/conservative_segments.tsv	NA	provenance/support	Prior strict nb=1 no-scaffold geometry source used by graph schematic tables.
prior_pan027_pan011_strict	PAN027_chr9q_chr3q_PHR_candidate	PAN027_vs_PAN011	prior strict native PAF	prior strict sweepGA	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/PAN027_vs_PAN011.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	1:1 no-scaffold	provenance/source comparison	Target-coordinate source cited by selected_segments.tsv.
prior_pan028_pan027_strict	PAN028_chr9q_chr3q_PHR_candidate	PAN028_vs_PAN027	prior strict native PAF	prior strict sweepGA	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/PAN028_vs_PAN027.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	1:1 no-scaffold	provenance/source comparison	Target-coordinate source cited by selected_segments.tsv.
patches_labels_all	all	fig5_selected	community/status annotation	graph/untangle	/moosefs/guarracino/HPRCv2/PHR_III/pedigrees/washu/untangle/recombination/patches.tsv	NA	annotation only	Use for community/status labels only, not for drawing geometry.
raw_pan027_pat_hap1	PAN027_chr9q_chr3q_PHR_candidate;PAR1_XY_positive_control	PAN027pat_vs_PAN011_hap1	raw direct PAF	direct PAF	raw_paf/PAN027pat_vs_PAN011_hap1.sweepga_many_many_j0.paf.gz	sweepga_many_many_j0	support/control	Raw many:many no-scaffold direct child paternal PAN027#2 to PAN011#1.
raw_pan027_pat_hap2	PAN027_chr9q_chr3q_PHR_candidate;PAR1_XY_positive_control	PAN027pat_vs_PAN011_hap2	raw direct PAF	direct PAF	raw_paf/PAN027pat_vs_PAN011_hap2.sweepga_many_many_j0.paf.gz	sweepga_many_many_j0	support/control	Raw many:many no-scaffold direct child paternal PAN027#2 to PAN011#2.
filtered_pan027_pat_hap1_four	PAN027_chr9q_chr3q_PHR_candidate;PAR1_XY_positive_control	PAN027pat_vs_PAN011_hap1	filtered direct PAF	direct PAF	filtered_paf/PAN027pat_vs_PAN011_hap1.four_many_noscaffold.paf.gz	four_many_noscaffold	primary for concordant rows	Used by concordant PAR1 chrX context, PAN027 chr9q context, chr3q hap1 donor, and chr15q side-fragment rows.
filtered_pan027_pat_hap2_four	PAN027_chr9q_chr3q_PHR_candidate;PAR1_XY_positive_control	PAN027pat_vs_PAN011_hap2	filtered direct PAF	direct PAF	filtered_paf/PAN027pat_vs_PAN011_hap2.four_many_noscaffold.paf.gz	four_many_noscaffold	primary for concordant rows	Used by concordant PAR1 chrY blocks, PAN027 chr9q context, and PAN027 chr3q hap2 donor rows; discordant chr16q side fragment remains graph-primary.
filtered_pan027_pat_hap1_oneone	PAN027_chr9q_chr3q_PHR_candidate;PAR1_XY_positive_control	PAN027pat_vs_PAN011_hap1	filtered direct PAF	direct PAF	filtered_paf/PAN027pat_vs_PAN011_hap1.one_one_noscaffold.paf.gz	one_one_noscaffold	support/control	Strict-style direct filter retained for comparison to prior 1:1 no-scaffold analysis.
filtered_pan027_pat_hap2_oneone	PAN027_chr9q_chr3q_PHR_candidate;PAR1_XY_positive_control	PAN027pat_vs_PAN011_hap2	filtered direct PAF	direct PAF	filtered_paf/PAN027pat_vs_PAN011_hap2.one_one_noscaffold.paf.gz	one_one_noscaffold	support/control	Strict-style direct filter retained for comparison to prior 1:1 no-scaffold analysis.
filtered_pan027_pat_hap1_onemany	PAN027_chr9q_chr3q_PHR_candidate;PAR1_XY_positive_control	PAN027pat_vs_PAN011_hap1	filtered direct PAF	direct PAF	filtered_paf/PAN027pat_vs_PAN011_hap1.one_many_noscaffold.paf.gz	one_many_noscaffold	support/control	Query-best direct filter.
filtered_pan027_pat_hap2_onemany	PAN027_chr9q_chr3q_PHR_candidate;PAR1_XY_positive_control	PAN027pat_vs_PAN011_hap2	filtered direct PAF	direct PAF	filtered_paf/PAN027pat_vs_PAN011_hap2.one_many_noscaffold.paf.gz	one_many_noscaffold	support/control	Query-best direct filter.
filtered_pan027_pat_hap1_twomany	PAN027_chr9q_chr3q_PHR_candidate;PAR1_XY_positive_control	PAN027pat_vs_PAN011_hap1	filtered direct PAF	direct PAF	filtered_paf/PAN027pat_vs_PAN011_hap1.two_many_noscaffold.paf.gz	two_many_noscaffold	support/control	Two-query-mappings direct filter.
filtered_pan027_pat_hap2_twomany	PAN027_chr9q_chr3q_PHR_candidate;PAR1_XY_positive_control	PAN027pat_vs_PAN011_hap2	filtered direct PAF	direct PAF	filtered_paf/PAN027pat_vs_PAN011_hap2.two_many_noscaffold.paf.gz	two_many_noscaffold	support/control	Two-query-mappings direct filter.
filtered_pan027_pat_hap1_simple	PAN027_chr9q_chr3q_PHR_candidate;PAR1_XY_positive_control	PAN027pat_vs_PAN011_hap1	filtered direct PAF	direct PAF	filtered_paf/PAN027pat_vs_PAN011_hap1.simple_i95_l1k_q80.paf.gz	simple_i95_l1k_q80	support/control	Identity/length/query-coverage threshold control.
filtered_pan027_pat_hap2_simple	PAN027_chr9q_chr3q_PHR_candidate;PAR1_XY_positive_control	PAN027pat_vs_PAN011_hap2	filtered direct PAF	direct PAF	filtered_paf/PAN027pat_vs_PAN011_hap2.simple_i95_l1k_q80.paf.gz	simple_i95_l1k_q80	support/control	Identity/length/query-coverage threshold control.
raw_pan028_mat_hap1	PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_hap1	raw direct PAF	direct PAF	raw_paf/PAN028mat_vs_PAN027_hap1.sweepga_many_many_j0.paf.gz	sweepga_many_many_j0	support/control	Raw many:many no-scaffold direct PAN028#1 to PAN027#1.
raw_pan028_mat_hap2	PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_hap2	raw direct PAF	direct PAF	raw_paf/PAN028mat_vs_PAN027_hap2.sweepga_many_many_j0.paf.gz	sweepga_many_many_j0	support/control	Raw many:many no-scaffold direct PAN028#1 to PAN027#2.
filtered_pan028_mat_hap1_four	PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_hap1	filtered direct PAF	direct PAF	filtered_paf/PAN028mat_vs_PAN027_hap1.four_many_noscaffold.paf.gz	four_many_noscaffold	primary for concordant rows	Used by agreeing PAN028 maternal chr9q and chr3q rows; several small graph fragments remain graph-primary.
filtered_pan028_mat_hap2_four	PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_hap2	filtered direct PAF	direct PAF	filtered_paf/PAN028mat_vs_PAN027_hap2.four_many_noscaffold.paf.gz	four_many_noscaffold	primary for concordant rows	Used by agreeing PAN028 paternal chr9q context rows; discordant side/donor fragments remain graph-primary.
filtered_pan028_mat_hap1_oneone	PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_hap1	filtered direct PAF	direct PAF	filtered_paf/PAN028mat_vs_PAN027_hap1.one_one_noscaffold.paf.gz	one_one_noscaffold	support/control	Strict-style direct filter retained for comparison to prior 1:1 no-scaffold analysis.
filtered_pan028_mat_hap2_oneone	PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_hap2	filtered direct PAF	direct PAF	filtered_paf/PAN028mat_vs_PAN027_hap2.one_one_noscaffold.paf.gz	one_one_noscaffold	support/control	Strict-style direct filter retained for comparison to prior 1:1 no-scaffold analysis.
filtered_pan028_mat_hap1_onemany	PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_hap1	filtered direct PAF	direct PAF	filtered_paf/PAN028mat_vs_PAN027_hap1.one_many_noscaffold.paf.gz	one_many_noscaffold	support/control	Query-best direct filter.
filtered_pan028_mat_hap2_onemany	PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_hap2	filtered direct PAF	direct PAF	filtered_paf/PAN028mat_vs_PAN027_hap2.one_many_noscaffold.paf.gz	one_many_noscaffold	support/control	Query-best direct filter.
filtered_pan028_mat_hap1_twomany	PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_hap1	filtered direct PAF	direct PAF	filtered_paf/PAN028mat_vs_PAN027_hap1.two_many_noscaffold.paf.gz	two_many_noscaffold	support/control	Two-query-mappings direct filter.
filtered_pan028_mat_hap2_twomany	PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_hap2	filtered direct PAF	direct PAF	filtered_paf/PAN028mat_vs_PAN027_hap2.two_many_noscaffold.paf.gz	two_many_noscaffold	support/control	Two-query-mappings direct filter.
filtered_pan028_mat_hap1_simple	PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_hap1	filtered direct PAF	direct PAF	filtered_paf/PAN028mat_vs_PAN027_hap1.simple_i95_l1k_q80.paf.gz	simple_i95_l1k_q80	support/control	Identity/length/query-coverage threshold control.
filtered_pan028_mat_hap2_simple	PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_hap2	filtered direct PAF	direct PAF	filtered_paf/PAN028mat_vs_PAN027_hap2.simple_i95_l1k_q80.paf.gz	simple_i95_l1k_q80	support/control	Identity/length/query-coverage threshold control.
raw_pan027_mat_hap1	PAN027_maternal_vs_PAN010_control	PAN027mat_vs_PAN010_hap1	raw direct PAF	direct PAF	raw_paf/PAN027mat_vs_PAN010_hap1.sweepga_many_many_j0.paf.gz	sweepga_many_many_j0	support/control only	No corresponding selected graph event row in current Fig5 tables.
raw_pan027_mat_hap2	PAN027_maternal_vs_PAN010_control	PAN027mat_vs_PAN010_hap2	raw direct PAF	direct PAF	raw_paf/PAN027mat_vs_PAN010_hap2.sweepga_many_many_j0.paf.gz	sweepga_many_many_j0	support/control only	No corresponding selected graph event row in current Fig5 tables.
filtered_pan027_mat_hap1_four	PAN027_maternal_vs_PAN010_control	PAN027mat_vs_PAN010_hap1	filtered direct PAF	direct PAF	filtered_paf/PAN027mat_vs_PAN010_hap1.four_many_noscaffold.paf.gz	four_many_noscaffold	support/control only	Maternal comparison control; not a Fig5 primary event source.
filtered_pan027_mat_hap2_four	PAN027_maternal_vs_PAN010_control	PAN027mat_vs_PAN010_hap2	filtered direct PAF	direct PAF	filtered_paf/PAN027mat_vs_PAN010_hap2.four_many_noscaffold.paf.gz	four_many_noscaffold	support/control only	Maternal comparison control; not a Fig5 primary event source.
filtered_pan027_mat_hap1_oneone	PAN027_maternal_vs_PAN010_control	PAN027mat_vs_PAN010_hap1	filtered direct PAF	direct PAF	filtered_paf/PAN027mat_vs_PAN010_hap1.one_one_noscaffold.paf.gz	one_one_noscaffold	support/control only	Maternal comparison control filter.
filtered_pan027_mat_hap2_oneone	PAN027_maternal_vs_PAN010_control	PAN027mat_vs_PAN010_hap2	filtered direct PAF	direct PAF	filtered_paf/PAN027mat_vs_PAN010_hap2.one_one_noscaffold.paf.gz	one_one_noscaffold	support/control only	Maternal comparison control filter.
filtered_pan027_mat_hap1_onemany	PAN027_maternal_vs_PAN010_control	PAN027mat_vs_PAN010_hap1	filtered direct PAF	direct PAF	filtered_paf/PAN027mat_vs_PAN010_hap1.one_many_noscaffold.paf.gz	one_many_noscaffold	support/control only	Maternal comparison control filter.
filtered_pan027_mat_hap2_onemany	PAN027_maternal_vs_PAN010_control	PAN027mat_vs_PAN010_hap2	filtered direct PAF	direct PAF	filtered_paf/PAN027mat_vs_PAN010_hap2.one_many_noscaffold.paf.gz	one_many_noscaffold	support/control only	Maternal comparison control filter.
filtered_pan027_mat_hap1_twomany	PAN027_maternal_vs_PAN010_control	PAN027mat_vs_PAN010_hap1	filtered direct PAF	direct PAF	filtered_paf/PAN027mat_vs_PAN010_hap1.two_many_noscaffold.paf.gz	two_many_noscaffold	support/control only	Maternal comparison control filter.
filtered_pan027_mat_hap2_twomany	PAN027_maternal_vs_PAN010_control	PAN027mat_vs_PAN010_hap2	filtered direct PAF	direct PAF	filtered_paf/PAN027mat_vs_PAN010_hap2.two_many_noscaffold.paf.gz	two_many_noscaffold	support/control only	Maternal comparison control filter.
filtered_pan027_mat_hap1_simple	PAN027_maternal_vs_PAN010_control	PAN027mat_vs_PAN010_hap1	filtered direct PAF	direct PAF	filtered_paf/PAN027mat_vs_PAN010_hap1.simple_i95_l1k_q80.paf.gz	simple_i95_l1k_q80	support/control only	Maternal comparison control filter.
filtered_pan027_mat_hap2_simple	PAN027_maternal_vs_PAN010_control	PAN027mat_vs_PAN010_hap2	filtered direct PAF	direct PAF	filtered_paf/PAN027mat_vs_PAN010_hap2.simple_i95_l1k_q80.paf.gz	simple_i95_l1k_q80	support/control only	Maternal comparison control filter.
