comparison_id	filter_id	input_paf	output_paf	num_mappings	scaffold_jump	sweepga_devshm_base	status
PAN027pat_vs_PAN011_joint	many_many_chopped	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/chopped_paf_l10000_o0/PAN027pat_vs_PAN011_joint.chopped_l10000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/filtered_paf/PAN027pat_vs_PAN011_joint.many_many_chopped.paf.gz	many:many	0	/dev/shm	OK
PAN027pat_vs_PAN011_joint	one_one_chopped	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/chopped_paf_l10000_o0/PAN027pat_vs_PAN011_joint.chopped_l10000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/filtered_paf/PAN027pat_vs_PAN011_joint.one_one_chopped.paf.gz	1:1	0	/dev/shm	OK
PAN027pat_vs_PAN011_joint	one_many_chopped	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/chopped_paf_l10000_o0/PAN027pat_vs_PAN011_joint.chopped_l10000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/filtered_paf/PAN027pat_vs_PAN011_joint.one_many_chopped.paf.gz	1:many	0	/dev/shm	OK
PAN027pat_vs_PAN011_joint	two_many_chopped	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/chopped_paf_l10000_o0/PAN027pat_vs_PAN011_joint.chopped_l10000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/filtered_paf/PAN027pat_vs_PAN011_joint.two_many_chopped.paf.gz	2:many	0	/dev/shm	OK
PAN027pat_vs_PAN011_joint	four_many_chopped	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/chopped_paf_l10000_o0/PAN027pat_vs_PAN011_joint.chopped_l10000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/filtered_paf/PAN027pat_vs_PAN011_joint.four_many_chopped.paf.gz	4:many	0	/dev/shm	OK
PAN027mat_vs_PAN010_joint	many_many_chopped	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/chopped_paf_l10000_o0/PAN027mat_vs_PAN010_joint.chopped_l10000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/filtered_paf/PAN027mat_vs_PAN010_joint.many_many_chopped.paf.gz	many:many	0	/dev/shm	OK
PAN027mat_vs_PAN010_joint	one_one_chopped	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/chopped_paf_l10000_o0/PAN027mat_vs_PAN010_joint.chopped_l10000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/filtered_paf/PAN027mat_vs_PAN010_joint.one_one_chopped.paf.gz	1:1	0	/dev/shm	OK
PAN027mat_vs_PAN010_joint	one_many_chopped	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/chopped_paf_l10000_o0/PAN027mat_vs_PAN010_joint.chopped_l10000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/filtered_paf/PAN027mat_vs_PAN010_joint.one_many_chopped.paf.gz	1:many	0	/dev/shm	OK
PAN027mat_vs_PAN010_joint	two_many_chopped	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/chopped_paf_l10000_o0/PAN027mat_vs_PAN010_joint.chopped_l10000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/filtered_paf/PAN027mat_vs_PAN010_joint.two_many_chopped.paf.gz	2:many	0	/dev/shm	OK
PAN027mat_vs_PAN010_joint	four_many_chopped	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/chopped_paf_l10000_o0/PAN027mat_vs_PAN010_joint.chopped_l10000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/filtered_paf/PAN027mat_vs_PAN010_joint.four_many_chopped.paf.gz	4:many	0	/dev/shm	OK
PAN028mat_vs_PAN027_joint	many_many_chopped	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/chopped_paf_l10000_o0/PAN028mat_vs_PAN027_joint.chopped_l10000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/filtered_paf/PAN028mat_vs_PAN027_joint.many_many_chopped.paf.gz	many:many	0	/dev/shm	OK
PAN028mat_vs_PAN027_joint	one_one_chopped	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/chopped_paf_l10000_o0/PAN028mat_vs_PAN027_joint.chopped_l10000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/filtered_paf/PAN028mat_vs_PAN027_joint.one_one_chopped.paf.gz	1:1	0	/dev/shm	OK
PAN028mat_vs_PAN027_joint	one_many_chopped	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/chopped_paf_l10000_o0/PAN028mat_vs_PAN027_joint.chopped_l10000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/filtered_paf/PAN028mat_vs_PAN027_joint.one_many_chopped.paf.gz	1:many	0	/dev/shm	OK
PAN028mat_vs_PAN027_joint	two_many_chopped	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/chopped_paf_l10000_o0/PAN028mat_vs_PAN027_joint.chopped_l10000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/filtered_paf/PAN028mat_vs_PAN027_joint.two_many_chopped.paf.gz	2:many	0	/dev/shm	OK
PAN028mat_vs_PAN027_joint	four_many_chopped	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/chopped_paf_l10000_o0/PAN028mat_vs_PAN027_joint.chopped_l10000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/filtered_paf/PAN028mat_vs_PAN027_joint.four_many_chopped.paf.gz	4:many	0	/dev/shm	OK
