source_key	path	contents	coordinate_system	status_for_v3	use_for_renderer	stale_or_usage_risk
chm13_phr_bed	chm13.phrs.bed	Repo-root CHM13 PHR intervals and chromosome-involved labels	CHM13 v2.0 chromosome coordinates; BED 0-based half-open	Canonical repo-local interval input from early PHR data import	Primary CHM13 interval blocks for target panels	Does not include every HPRCv2 1Mb row, notably CHM13 chr13p in the acro p-arm group; use all-vs-all.1Mb for missing PanSN rows.
chm13_hg002_phr_bed	CHM13-HG002.sub-telo-phrs.bed	CHM13 and HG002 PanSN-style subtelomeric PHR BED intervals	PanSN contig names with chromosome coordinates; BED 0-based half-open	Canonical comparison BED present at repo root	Use for CHM13/HG002 paired panels if needed	Mixed assemblies in one file; renderer must not assume all rows are CHM13.
projected_hprc_intervals	/moosefs/guarracino/HPRCv2/PHR_III/all-vs-all.1Mb.p95.id95.len.tsv	Projected homologous regions by 1Mb trimmed sequence with involved chromosomes/arms	HPRCv2 1Mb trimmed PanSN sequence names; region_start/end are offsets within seq	Canonical HPRCv2 row-level projected PHR table, mtime observed 2026-03-21	Use for cohort/haplotype browser panels and for acro chr13p CHM13 row	Do not confuse the full seq window with the PHR interval; use region_start/end for the drawn PHR.
projected_hprc_no_acro	/moosefs/guarracino/HPRCv2/PHR_III/all-vs-all.1Mb.p95.id95.len.no_acrocentric.tsv	No-acrocentric rerun of projected PHR table	Same as projected_hprc_intervals	Control output, not primary for gene browser	Reference only if explaining acrocentric exclusions	Not suitable for the minimum acro p-arm panel because it excludes the required biology.
hprc_trimmed_fasta_index	/moosefs/guarracino/HPRCv2/PHR_III/hprcv2.1Mb.telo_trimmed.p95.id95.fa.gz.fai	Index of the 1Mb trimmed PHR sequence set	HPRCv2 1Mb trimmed PanSN sequence coordinate space	Canonical sequence index for all-vs-all table	Use to validate sequence lengths and labels	Not a gene or repeat annotation source.
arm_community_assignments	/moosefs/guarracino/HPRCv2/PHR_III/similarity/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv	Arm-level Leiden C1-C15 assignments and arm group labels	Arm labels such as chr4_q; no genomic coordinates	Canonical community labels for this inventory, mtime observed 2026-03-28	Use for color bands and target-locus community calls	Sequence-level community files reuse C numbers with different meanings; keep arm-level and sequence-level labels separate.
arm_community_table	/moosefs/guarracino/HPRCv2/PHR_III/similarity/hprcv2.1Mb.subtelo.arm-leiden.communities.tsv	Arm-to-community mapping with chr_arm strings	Arm labels such as chr4_qarm; no genomic coordinates	Canonical compact community lookup	Use for joins from enrichment tables	None if used only as arm-level lookup.
sequence_community_assignments	/moosefs/guarracino/HPRCv2/PHR_III/similarity/hprcv2.1Mb.subtelo.seq-leiden-k50.assignments.tsv	Sequence-level community assignments	Sample/haplotype/arm labels; no direct genomic coordinates	Useful but not primary for this talk inventory	Use only for optional cohort subtyping	Community IDs are not the same as arm-level C1-C15; do not use for target rows unless explicitly relabeled.
chm13_gene_gff	chm13v2.0_RefSeq_Liftoff_v5.2.gff3.gz	Full CHM13 v2.0 RefSeq Liftoff gene annotation	GFF3 1-based closed coordinates	Canonical full CHM13 gene annotation	Use if renderer needs transcripts/exons outside phrs.genes.gff3	Large file; convert gene/transcript/exon features carefully.
phr_gene_gff	phrs.genes.gff3	PHR-intersected CHM13 gene features	GFF3 1-based closed coordinates	Best repo-local gene coordinate source for CHM13 PHR browser tracks	Primary CHM13 gene lane for target panels	Contains gene rows only; transcript/exon detail requires the full Liftoff GFF3.
phr_no_acro_gene_gff	phrs.no_acro.genes.gff3; phrs.no_acro.coding_genes.gff3	PHR gene intersections after no-acrocentric filtering	GFF3 1-based closed coordinates	Control outputs from historical enrichment reruns	Reference only when discussing no-acro controls	Not appropriate for the required acrocentric p-arm browser panel.
gtf_search	(repo and /moosefs/guarracino/HPRCv2/PHR_III search)	No .gtf or .gtf.gz files found in searched locations	Not applicable	No canonical GTF source found	Use GFF3 sources instead	Do not block rendering on a GTF input; GFF3 and BED sources cover the required tracks.
hprc_gene_gffs	/moosefs/guarracino/HPRCv2/PHR_III/hprc_annotations/*.gff3.gz	Per-haplotype HPRC Liftoff annotations	Assembly-specific haplotype coordinates	Canonical raw HPRC gene annotation set	Use when drawing non-CHM13 haplotype rows	Many files; renderer should load only target sample/haplotype GFFs.
annotation_rds	/moosefs/guarracino/HPRCv2/PHR_III/annotations/subtelomeric_annotations.1Mb.rds	Combined genes and TAR1 entries used by community enrichment scripts	Mixed HPRCv2 PHR region coordinates in RDS fields	Canonical derived annotation object, mtime observed 2026-03-27	Use to regenerate TAR1 and per-community annotation summaries	Binary R object; downstream renderer may need an extraction script or R helper.
chm13_repeatmasker	/moosefs/guarracino/HPRCv2/PHR_III/hprc_repeatmasker/chm13v2.0_RepeatMasker_4.1.2p1.2022Apr14.bed.gz	CHM13 RepeatMasker annotations, including TAR1 where present	BED 0-based half-open on CHM13 v2.0	Canonical CHM13 repeat marker source found during inventory	Use for CHM13 TAR1/repeat lane	Needs filtering to TAR1 and any other named markers; D4Z4 standalone BED was not found in reviewed outputs.
hprc_repeatmasker	/moosefs/guarracino/HPRCv2/PHR_III/hprc_repeatmasker/*.RepeatMasker.bed.gz	Per-haplotype RepeatMasker annotations	BED 0-based half-open on each haplotype assembly	Canonical raw HPRC repeat annotation set	Use for haplotype-specific TAR1 panels	Many files; renderer should load only target sample/haplotype BEDs.
d4z4_dux4_summary	/moosefs/guarracino/HPRCv2/PHR_III/plots/d4z4_dux4l_by_community.tsv	DUX4L counts by join_key, arm, and community	Community and arm summary; no per-feature coordinates	Canonical D4Z4/DUX4L copy summary for slide 14	Use for labels and C1 copy-number callouts	Not a replacement for gene coordinates.
d4z4_window_signal	/moosefs/guarracino/HPRCv2/PHR_III/plots/d4z4_perwindow_signal.tsv	Per-window inter-chromosomal signal for chr4q/chr10q	Distances from telomere in 5kb windows	Canonical D4Z4 localization evidence from HPRCv2 script	Use as optional C1 signal inset or label	Not a browser interval file by itself.
or4f_fraction	/moosefs/guarracino/HPRCv2/PHR_III/plots/or4f_pseudogene_fraction.csv	OR4F total/coding/pseudogene counts and fractions by arm	Arm-level summary; no per-feature coordinates	Canonical OR4F gradient numeric source	Use for OR4F side labels	Do not draw as intervals; use gene GFF for positions.
