method_id	evidence_layer	comparison_id	bin_size_bp	paf_path	path_exists	path_size_bytes	row_count_manifest	sha256	filter_id	chunk_mode	source_manifest	status
wfmash_p95_updated_bin	raw_many_many	PAN027mat_vs_PAN010_joint	2000	/moosefs/erikg/phrs/.wg-worktrees/agent-2636/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95_updated_bin/raw_paf/updated_bin_v0.24.2-12-ge040aa10/PAN027mat_vs_PAN010_joint.literal_p95.wfmash-v0.24.2-12-ge040aa10.paf.gz	yes	2689281	66634		one_to_one_ani_o0	query-grid	/moosefs/erikg/phrs/.wg-worktrees/agent-2759/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95_updated_bin/summaries/query_grid_filter_manifest.tsv	OK
wfmash_p95_updated_bin	filtered_one_to_one	PAN027mat_vs_PAN010_joint	2000	/moosefs/erikg/phrs/.wg-worktrees/agent-2719/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95_updated_bin/query_grid_filter/filtered_paf_qgrid_l2000_o0/PAN027mat_vs_PAN010_joint.one_to_one_ani_o0.chopped_l2000_o0_query_grid.paf.gz	yes	24950901	1505702	a6584721a0db119282926ecabb8f9dfa80c6c12ae0d87c689d31ad49fb6e2dc8	one_to_one_ani_o0	query-grid	/moosefs/erikg/phrs/.wg-worktrees/agent-2759/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95_updated_bin/summaries/query_grid_filter_manifest.tsv	OK
wfmash_p95_updated_bin	raw_many_many	PAN027pat_vs_PAN011_joint	2000	/moosefs/erikg/phrs/.wg-worktrees/agent-2636/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95_updated_bin/raw_paf/updated_bin_v0.24.2-12-ge040aa10/PAN027pat_vs_PAN011_joint.literal_p95.wfmash-v0.24.2-12-ge040aa10.paf.gz	yes	2827411	66591		one_to_one_ani_o0	query-grid	/moosefs/erikg/phrs/.wg-worktrees/agent-2759/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95_updated_bin/summaries/query_grid_filter_manifest.tsv	OK
wfmash_p95_updated_bin	filtered_one_to_one	PAN027pat_vs_PAN011_joint	2000	/moosefs/erikg/phrs/.wg-worktrees/agent-2719/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95_updated_bin/query_grid_filter/filtered_paf_qgrid_l2000_o0/PAN027pat_vs_PAN011_joint.one_to_one_ani_o0.chopped_l2000_o0_query_grid.paf.gz	yes	25164290	1507938	35ec3bd8a491777444ce8e81c8ae817c96cd2657058953d184ebd62677ae2622	one_to_one_ani_o0	query-grid	/moosefs/erikg/phrs/.wg-worktrees/agent-2759/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95_updated_bin/summaries/query_grid_filter_manifest.tsv	OK
wfmash_p95_updated_bin	raw_many_many	PAN028mat_vs_PAN027_joint	2000	/moosefs/erikg/phrs/.wg-worktrees/agent-2636/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95_updated_bin/raw_paf/updated_bin_v0.24.2-12-ge040aa10/PAN028mat_vs_PAN027_joint.literal_p95.wfmash-v0.24.2-12-ge040aa10.paf.gz	yes	13303455	79730		one_to_one_ani_o0	query-grid	/moosefs/erikg/phrs/.wg-worktrees/agent-2759/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95_updated_bin/summaries/query_grid_filter_manifest.tsv	OK
wfmash_p95_updated_bin	filtered_one_to_one	PAN028mat_vs_PAN027_joint	2000	/moosefs/erikg/phrs/.wg-worktrees/agent-2719/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95_updated_bin/query_grid_filter/filtered_paf_qgrid_l2000_o0/PAN028mat_vs_PAN027_joint.one_to_one_ani_o0.chopped_l2000_o0_query_grid.paf.gz	yes	34998137	1474266	022ef1c5e67d6c7f1820ab479b7692e73d9062844d9c9b9ff25c3fb50d90d84f	one_to_one_ani_o0	query-grid	/moosefs/erikg/phrs/.wg-worktrees/agent-2759/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95_updated_bin/summaries/query_grid_filter_manifest.tsv	OK
sweepga_fastga_f32	raw_many_many	PAN027pat_vs_PAN011_joint	2000	/moosefs/erikg/phrs/.wg-worktrees/agent-2727/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency32/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency32_many_many_j0.paf.gz	yes	5161676206			one_to_one_ani_o0	query-grid	/moosefs/erikg/phrs/.wg-worktrees/agent-2759/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency32/summaries/query_grid_chop_filter_manifest.tsv	OK
sweepga_fastga_f32	filtered_one_to_one	PAN027pat_vs_PAN011_joint	2000	/moosefs/erikg/phrs/.wg-worktrees/agent-2727/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency32/filtered_paf_chop_sensitivity_query_grid/l2000/PAN027pat_vs_PAN011_joint.one_to_one_ani_o0.chopped_l2000_o0_query_grid.paf.gz	yes	22097006		a76f6f467708f80e5698e0ff459d682ca7c741fd263c6c54fcd1d59832520527	one_to_one_ani_o0	query-grid	/moosefs/erikg/phrs/.wg-worktrees/agent-2759/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency32/summaries/query_grid_chop_filter_manifest.tsv	OK
sweepga_fastga_f32	raw_many_many	PAN027mat_vs_PAN010_joint	2000	/moosefs/erikg/phrs/.wg-worktrees/agent-2727/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency32/raw_paf/PAN027mat_vs_PAN010_joint.sweepga_frequency32_many_many_j0.paf.gz	yes	5665017941			one_to_one_ani_o0	query-grid	/moosefs/erikg/phrs/.wg-worktrees/agent-2759/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency32/summaries/query_grid_chop_filter_manifest.tsv	OK
sweepga_fastga_f32	filtered_one_to_one	PAN027mat_vs_PAN010_joint	2000	/moosefs/erikg/phrs/.wg-worktrees/agent-2727/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency32/filtered_paf_chop_sensitivity_query_grid/l2000/PAN027mat_vs_PAN010_joint.one_to_one_ani_o0.chopped_l2000_o0_query_grid.paf.gz	yes	22178234		6ee0970e88bf04ce85202a308111127fa84dc05159af03a4c00dce0652cf9a29	one_to_one_ani_o0	query-grid	/moosefs/erikg/phrs/.wg-worktrees/agent-2759/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency32/summaries/query_grid_chop_filter_manifest.tsv	OK
